idcredito,target,duracao,valor,cd_tempo_parcelamento,tempo_parcelamento,cd_residencia_desde,residencia_desde,idade,cd_emprestimo_existente,emprestimo_existente,dependentes,socio_empresa,cd_estrangeiro,estrangeiro,historico_credito,proposito,cd_investimentos,faixa_investimento,cd_emprego,faixa_tempo_emprego,estado_civil,possui_fiador,habitacao,outros_financiamentos,qualificacao_profissional
21,1,9,2134,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,48,3,Médio (3-4 empréstimos),1,1,0,Não,Critico-outros creditos,veiculo novo,2,<100,3,1<=X<4,Viuvo,nao,proria,nenhum,qualificado
22,1,6,2647,2,2-Parcelamento de 4 a 6 meses,3,3-Residência com familiares,44,1,Nenhum,2,0,0,Não,existentes/pagos,reforma,3,500<=X<1000,3,1<=X<4,Viuvo,nao,alugada,nenhum,qualificado
23,1,10,2241,1,1-Parcelamento em até 3 meses,3,3-Residência com familiares,48,2,Baixo (1-2 empréstimos),2,0,1,Sim,Critico-outros creditos,veiculo novo,2,<100,1,<1,Viuvo,nao,alugada,nenhum,nao qualificado
24,1,12,1804,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,44,1,Nenhum,1,0,0,Não,Critico-outros creditos,veiculo usado,5,100<=X<500,1,<1,Viuvo,nao,proria,nenhum,qualificado
25,1,10,2069,2,2-Parcelamento de 4 a 6 meses,1,1-Residência fixa,26,2,Baixo (1-2 empréstimos),1,0,1,Sim,Critico-outros creditos,moveis,1,Desconhecido,3,1<=X<4,Divorciado,nao,proria,nenhum,qualificado
26,1,6,1374,1,1-Parcelamento em até 3 meses,2,2-Residência temporária,36,1,Nenhum,1,1,0,Não,existentes/pagos,moveis,2,<100,3,1<=X<4,Viuvo,nao,proria,banco,nao qualificado
27,1,6,426,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,39,1,Nenhum,1,0,0,Não,sem creditos/todos pagos,reforma,2,<100,2,>=7,Divorciado,nao,proria,nenhum,nao qualificado
28,1,12,409,3,3-Parcelamento de 7 a 12 meses,3,3-Residência com familiares,42,2,Baixo (1-2 empréstimos),1,0,0,Não,todos pagos,reforma,4,>=1000,3,1<=X<4,Solteiro,nao,alugada,nenhum,qualificado
29,1,7,2415,3,3-Parcelamento de 7 a 12 meses,2,2-Residência temporária,34,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,2,<100,3,1<=X<4,Viuvo,sim,proria,nenhum,qualificado
30,0,60,6836,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,63,2,Baixo (1-2 empréstimos),1,1,0,Não,Atrasos anteriores,abrir negocio,2,<100,2,>=7,Viuvo,nao,proria,nenhum,qualificado
31,1,18,1913,3,3-Parcelamento de 7 a 12 meses,3,3-Residência com familiares,36,1,Nenhum,1,1,0,Não,existentes/pagos,abrir negocio,4,>=1000,1,<1,Divorciado,nao,proria,banco,qualificado
32,1,24,4020,2,2-Parcelamento de 4 a 6 meses,2,2-Residência temporária,27,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,2,<100,3,1<=X<4,Viuvo,nao,proria,loja,qualificado
33,1,18,5866,2,2-Parcelamento de 4 a 6 meses,2,2-Residência temporária,30,2,Baixo (1-2 empréstimos),1,1,0,Não,existentes/pagos,veiculo novo,5,100<=X<500,3,1<=X<4,Viuvo,nao,proria,nenhum,qualificado
34,1,12,1264,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,57,1,Nenhum,1,0,0,Não,Critico-outros creditos,abrir negocio,1,Desconhecido,2,>=7,Viuvo,nao,alugada,nenhum,nao qualificado
36,0,45,4746,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,25,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,reforma,2,<100,1,<1,Viuvo,nao,proria,nenhum,nao qualificado
37,1,48,6110,1,1-Parcelamento em até 3 meses,3,3-Residência com familiares,31,1,Nenhum,1,1,0,Não,Critico-outros creditos,educacao,2,<100,3,1<=X<4,Viuvo,nao,de graca,banco,qualificado
38,0,18,2100,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,37,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,2,<100,3,1<=X<4,Viuvo,co requerente,proria,loja,qualificado
39,1,10,1225,2,2-Parcelamento de 4 a 6 meses,2,2-Residência temporária,37,1,Nenhum,1,1,0,Não,existentes/pagos,quitar divida,2,<100,3,1<=X<4,Viuvo,nao,proria,nenhum,qualificado
40,1,9,458,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,24,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,2,<100,3,1<=X<4,Viuvo,nao,proria,nenhum,qualificado
41,1,30,2333,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,30,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,3,500<=X<1000,2,>=7,Viuvo,nao,proria,banco,altamente qualificado/empresario
42,1,12,1158,3,3-Parcelamento de 7 a 12 meses,1,1-Residência fixa,26,1,Nenhum,1,1,0,Não,existentes/pagos,reforma,3,500<=X<1000,3,1<=X<4,Casado,nao,proria,nenhum,qualificado
43,1,18,6204,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,44,1,Nenhum,2,1,0,Não,Atrasos anteriores,reforma casa,2,<100,3,1<=X<4,Viuvo,nao,proria,nenhum,nao qualificado
44,1,30,6187,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,24,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,veiculo usado,5,100<=X<500,4,4<=X<7,Divorciado,nao,alugada,nenhum,qualificado
46,1,11,1393,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,35,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,veiculo novo,2,<100,1,<1,Solteiro,nao,proria,nenhum,altamente qualificado/empresario
47,1,36,2299,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,39,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,3,500<=X<1000,2,>=7,Viuvo,nao,proria,nenhum,qualificado
48,1,6,1352,1,1-Parcelamento em até 3 meses,2,2-Residência temporária,23,1,Nenhum,1,1,0,Não,existentes/pagos,veiculo usado,3,500<=X<1000,5,Desempregado,Solteiro,nao,alugada,nenhum,desempregado
49,1,11,7228,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,39,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,veiculo novo,2,<100,3,1<=X<4,Viuvo,nao,proria,nenhum,nao qualificado
50,1,12,2073,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,28,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,5,100<=X<500,3,1<=X<4,Solteiro,co requerente,proria,nenhum,qualificado
51,1,24,2333,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,29,1,Nenhum,1,0,0,Não,Atrasos anteriores,moveis,1,Desconhecido,1,<1,Viuvo,nao,proria,banco,nao qualificado
52,1,27,5965,1,1-Parcelamento em até 3 meses,2,2-Residência temporária,30,2,Baixo (1-2 empréstimos),1,1,0,Não,Atrasos anteriores,veiculo usado,2,<100,2,>=7,Viuvo,nao,proria,nenhum,altamente qualificado/empresario
53,1,12,1262,3,3-Parcelamento de 7 a 12 meses,2,2-Residência temporária,25,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,2,<100,3,1<=X<4,Viuvo,nao,proria,nenhum,qualificado
54,1,18,3378,2,2-Parcelamento de 4 a 6 meses,1,1-Residência fixa,31,1,Nenhum,1,1,0,Não,existentes/pagos,veiculo usado,1,Desconhecido,3,1<=X<4,Viuvo,nao,proria,nenhum,qualificado
55,0,36,2225,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,57,2,Baixo (1-2 empréstimos),1,1,0,Não,Atrasos anteriores,veiculo novo,2,<100,2,>=7,Viuvo,nao,de graca,banco,qualificado
57,0,12,6468,2,2-Parcelamento de 4 a 6 meses,1,1-Residência fixa,52,1,Nenhum,1,1,0,Não,existentes/pagos,reforma,1,Desconhecido,5,Desempregado,Viuvo,nao,proria,nenhum,altamente qualificado/empresario
58,1,36,9566,2,2-Parcelamento de 4 a 6 meses,2,2-Residência temporária,31,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,reforma,2,<100,3,1<=X<4,Solteiro,nao,proria,loja,qualificado
59,1,18,1961,3,3-Parcelamento de 7 a 12 meses,2,2-Residência temporária,23,1,Nenhum,1,0,0,Não,existentes/pagos,veiculo novo,2,<100,2,>=7,Solteiro,nao,proria,nenhum,altamente qualificado/empresario
60,0,36,6229,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,23,2,Baixo (1-2 empréstimos),1,1,0,Não,Critico-outros creditos,moveis,2,<100,1,<1,Solteiro,co requerente,alugada,nenhum,nao qualificado
61,1,9,1391,2,2-Parcelamento de 4 a 6 meses,1,1-Residência fixa,27,1,Nenhum,1,1,0,Não,existentes/pagos,abrir negocio,2,<100,3,1<=X<4,Divorciado,nao,proria,banco,qualificado
62,1,15,1537,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,50,2,Baixo (1-2 empréstimos),1,1,0,Não,Critico-outros creditos,reforma,1,Desconhecido,2,>=7,Viuvo,sim,proria,nenhum,qualificado
63,0,36,1953,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,61,1,Nenhum,1,1,0,Não,sem creditos/todos pagos,abrir negocio,2,<100,2,>=7,Viuvo,nao,de graca,nenhum,altamente qualificado/empresario
64,0,48,14421,2,2-Parcelamento de 4 a 6 meses,2,2-Residência temporária,25,1,Nenhum,1,1,0,Não,sem creditos/todos pagos,abrir negocio,2,<100,3,1<=X<4,Viuvo,nao,proria,nenhum,qualificado
65,1,24,3181,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,26,1,Nenhum,1,1,0,Não,existentes/pagos,reforma,2,<100,1,<1,Solteiro,nao,proria,nenhum,qualificado
66,1,27,5190,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,48,4,Alto (5 ou mais empréstimos),2,1,0,Não,existentes/pagos,reforma casa,1,Desconhecido,2,>=7,Viuvo,nao,proria,nenhum,qualificado
67,1,12,2171,2,2-Parcelamento de 4 a 6 meses,2,2-Residência temporária,29,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,2,<100,1,<1,Solteiro,nao,proria,banco,qualificado
68,1,12,1007,4,4-Parcelamento acima de 12 meses,1,1-Residência fixa,22,1,Nenhum,1,0,0,Não,existentes/pagos,veiculo novo,4,>=1000,3,1<=X<4,Divorciado,nao,proria,nenhum,qualificado
70,1,36,2394,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,25,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,1,Desconhecido,3,1<=X<4,Solteiro,nao,proria,nenhum,qualificado
35,1,12,1474,4,4-Parcelamento acima de 12 meses,,,33,1,Nenhum,1,1,0,Não,existentes/pagos,moveis,2,<100,1,<1,Solteiro,nao,proria,banco,altamente qualificado/empresario
8,1,36,6948,2,2-Parcelamento de 4 a 6 meses,2,2-Residência temporária,35,1,Nenhum,1,1,0,Não,existentes/pagos,veiculo usado,2,<100,3,1<=X<4,Viuvo,nao,,nenhum,altamente qualificado/empresario
12,0,48,4308,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,24,1,Nenhum,1,0,0,Não,existentes/pagos,abrir negocio,2,<100,1,<1,Solteiro,nao,,nenhum,qualificado
1,1,6,1169,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,67,2,Baixo (1-2 empréstimos),1,1,0,Não,,reforma,1,Desconhecido,,,Viuvo,nao,proria,nenhum,qualificado
69,0,36,1819,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,37,1,Nenhum,1,1,0,Não,existentes/pagos,educacao,2,<100,3,1<=X<4,Viuvo,nao,de graca,loja,
10,0,30,5234,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,28,2,Baixo (1-2 empréstimos),1,0,0,Não,,veiculo novo,2,<100,5,Desempregado,Divorciado,nao,proria,nenhum,altamente qualificado/empresario
71,1,36,8133,1,1-Parcelamento em até 3 meses,2,2-Residência temporária,30,1,Nenhum,1,0,0,Não,existentes/pagos,veiculo usado,2,<100,3,1<=X<4,Solteiro,nao,proria,banco,qualificado
72,1,7,730,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,46,2,Baixo (1-2 empréstimos),1,1,0,Não,Critico-outros creditos,reforma,1,Desconhecido,2,>=7,Viuvo,nao,alugada,nenhum,nao qualificado
73,1,8,1164,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,51,2,Baixo (1-2 empréstimos),2,1,0,Não,Critico-outros creditos,outros,2,<100,2,>=7,Viuvo,nao,de graca,banco,altamente qualificado/empresario
74,1,42,5954,2,2-Parcelamento de 4 a 6 meses,1,1-Residência fixa,41,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,abrir negocio,2,<100,4,4<=X<7,Solteiro,nao,proria,banco,nao qualificado
76,1,12,1526,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,66,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,veiculo usado,2,<100,2,>=7,Viuvo,nao,de graca,nenhum,altamente qualificado/empresario
77,0,42,3965,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,34,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,2,<100,1,<1,Viuvo,nao,proria,nenhum,qualificado
79,1,54,9436,2,2-Parcelamento de 4 a 6 meses,2,2-Residência temporária,39,1,Nenhum,2,0,0,Não,sem creditos/todos pagos,veiculo usado,1,Desconhecido,3,1<=X<4,Viuvo,nao,proria,nenhum,nao qualificado
80,1,30,3832,2,2-Parcelamento de 4 a 6 meses,1,1-Residência fixa,22,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,2,<100,1,<1,Divorciado,nao,proria,nenhum,qualificado
81,0,24,5943,1,1-Parcelamento em até 3 meses,1,1-Residência fixa,44,2,Baixo (1-2 empréstimos),1,1,0,Não,existentes/pagos,reforma,1,Desconhecido,1,<1,Solteiro,nao,proria,nenhum,qualificado
82,1,15,1213,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,47,1,Nenhum,1,1,0,Não,existentes/pagos,reforma,3,500<=X<1000,2,>=7,Viuvo,nao,proria,loja,qualificado
83,1,18,1568,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,24,1,Nenhum,1,0,0,Não,existentes/pagos,abrir negocio,5,100<=X<500,3,1<=X<4,Solteiro,nao,alugada,nenhum,nao qualificado
84,1,24,1755,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,58,1,Nenhum,1,1,0,Não,existentes/pagos,outros,2,<100,2,>=7,Solteiro,sim,proria,nenhum,nao qualificado
85,1,10,2315,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,52,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,2,<100,2,>=7,Viuvo,nao,proria,nenhum,nao qualificado
86,1,12,1412,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,29,2,Baixo (1-2 empréstimos),1,1,0,Não,Critico-outros creditos,abrir negocio,2,<100,3,1<=X<4,Solteiro,sim,proria,nenhum,altamente qualificado/empresario
87,1,18,1295,4,4-Parcelamento acima de 12 meses,1,1-Residência fixa,27,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,moveis,2,<100,1,<1,Solteiro,nao,proria,nenhum,qualificado
88,0,36,12612,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,47,1,Nenhum,2,1,0,Não,existentes/pagos,educacao,5,100<=X<500,3,1<=X<4,Viuvo,nao,de graca,nenhum,qualificado
89,1,18,2249,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,30,1,Nenhum,2,1,0,Não,existentes/pagos,veiculo novo,5,100<=X<500,4,4<=X<7,Viuvo,nao,proria,nenhum,altamente qualificado/empresario
90,0,12,1108,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,28,2,Baixo (1-2 empréstimos),1,0,0,Não,sem creditos/todos pagos,reforma casa,2,<100,4,4<=X<7,Viuvo,nao,proria,nenhum,qualificado
91,1,12,618,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,56,1,Nenhum,1,0,0,Não,Critico-outros creditos,reforma,2,<100,2,>=7,Viuvo,nao,proria,nenhum,qualificado
92,1,12,1409,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,54,1,Nenhum,1,0,0,Não,Critico-outros creditos,veiculo usado,2,<100,2,>=7,Viuvo,nao,proria,nenhum,qualificado
93,0,12,797,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,33,1,Nenhum,2,0,0,Não,Critico-outros creditos,reforma,1,Desconhecido,2,>=7,Solteiro,nao,proria,banco,nao qualificado
94,1,24,3617,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,20,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,moveis,1,Desconhecido,2,>=7,Viuvo,co requerente,alugada,nenhum,qualificado
96,0,54,15945,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,58,1,Nenhum,1,1,0,Não,sem creditos/todos pagos,abrir negocio,2,<100,1,<1,Viuvo,nao,alugada,nenhum,qualificado
97,1,12,2012,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,61,1,Nenhum,1,0,0,Não,Critico-outros creditos,educacao,1,Desconhecido,4,4<=X<7,Solteiro,nao,proria,nenhum,qualificado
98,1,18,2622,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,34,1,Nenhum,1,0,0,Não,existentes/pagos,abrir negocio,5,100<=X<500,3,1<=X<4,Viuvo,nao,proria,nenhum,qualificado
99,1,36,2337,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,36,1,Nenhum,1,0,0,Não,Critico-outros creditos,reforma,2,<100,2,>=7,Viuvo,nao,proria,nenhum,qualificado
100,1,20,7057,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,36,2,Baixo (1-2 empréstimos),2,1,0,Não,Atrasos anteriores,veiculo usado,1,Desconhecido,4,4<=X<7,Viuvo,nao,alugada,banco,altamente qualificado/empresario
101,1,24,1469,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,41,1,Nenhum,1,0,0,Não,existentes/pagos,veiculo novo,5,100<=X<500,2,>=7,Divorciado,nao,alugada,nenhum,nao qualificado
102,1,36,2323,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,24,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,2,<100,4,4<=X<7,Viuvo,nao,alugada,nenhum,qualificado
103,1,6,932,3,3-Parcelamento de 7 a 12 meses,2,2-Residência temporária,24,1,Nenhum,1,0,0,Não,Atrasos anteriores,reforma,2,<100,3,1<=X<4,Solteiro,nao,proria,nenhum,qualificado
104,1,9,1919,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,35,1,Nenhum,1,1,0,Não,Critico-outros creditos,moveis,2,<100,4,4<=X<7,Viuvo,nao,alugada,nenhum,qualificado
105,1,12,2445,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,26,1,Nenhum,1,1,0,Não,existentes/pagos,veiculo usado,1,Desconhecido,1,<1,Divorciado,nao,alugada,nenhum,qualificado
106,0,24,11938,2,2-Parcelamento de 4 a 6 meses,3,3-Residência com familiares,39,2,Baixo (1-2 empréstimos),2,1,0,Não,Critico-outros creditos,outros,2,<100,3,1<=X<4,Viuvo,co aplicante,proria,nenhum,altamente qualificado/empresario
107,0,18,6458,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,39,2,Baixo (1-2 empréstimos),2,1,0,Não,todos pagos,veiculo novo,2,<100,2,>=7,Viuvo,nao,proria,banco,altamente qualificado/empresario
108,1,12,6078,2,2-Parcelamento de 4 a 6 meses,2,2-Residência temporária,32,1,Nenhum,1,0,0,Não,existentes/pagos,veiculo novo,2,<100,4,4<=X<7,Viuvo,nao,proria,nenhum,qualificado
109,1,24,7721,1,1-Parcelamento em até 3 meses,2,2-Residência temporária,30,1,Nenhum,1,1,1,Sim,existentes/pagos,moveis,1,Desconhecido,1,<1,Solteiro,nao,proria,nenhum,qualificado
110,1,14,1410,1,1-Parcelamento em até 3 meses,2,2-Residência temporária,35,1,Nenhum,1,1,0,Não,existentes/pagos,abrir negocio,3,500<=X<1000,2,>=7,Divorciado,nao,proria,nenhum,qualificado
111,1,6,1449,1,1-Parcelamento em até 3 meses,2,2-Residência temporária,31,2,Baixo (1-2 empréstimos),2,0,0,Não,Atrasos anteriores,abrir negocio,5,100<=X<500,2,>=7,Casado,nao,proria,banco,qualificado
112,1,15,392,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,23,1,Nenhum,1,1,0,Não,existentes/pagos,educacao,2,<100,1,<1,Solteiro,nao,alugada,nenhum,qualificado
113,1,18,6260,3,3-Parcelamento de 7 a 12 meses,3,3-Residência com familiares,28,1,Nenhum,1,0,0,Não,existentes/pagos,veiculo novo,2,<100,4,4<=X<7,Viuvo,nao,alugada,nenhum,nao qualificado
114,0,36,7855,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,25,2,Baixo (1-2 empréstimos),1,1,0,Não,Critico-outros creditos,veiculo novo,2,<100,3,1<=X<4,Solteiro,nao,proria,loja,qualificado
115,1,12,1680,3,3-Parcelamento de 7 a 12 meses,1,1-Residência fixa,35,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,3,500<=X<1000,2,>=7,Divorciado,nao,proria,nenhum,qualificado
116,1,48,3578,4,4-Parcelamento acima de 12 meses,1,1-Residência fixa,47,1,Nenhum,1,1,0,Não,Critico-outros creditos,reforma,1,Desconhecido,2,>=7,Viuvo,nao,proria,nenhum,qualificado
117,0,42,7174,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,30,1,Nenhum,1,1,0,Não,existentes/pagos,reforma,1,Desconhecido,4,4<=X<7,Solteiro,nao,proria,nenhum,altamente qualificado/empresario
118,1,10,2132,2,2-Parcelamento de 4 a 6 meses,3,3-Residência com familiares,27,2,Baixo (1-2 empréstimos),1,0,1,Sim,Critico-outros creditos,moveis,1,Desconhecido,1,<1,Solteiro,co requerente,alugada,nenhum,qualificado
119,0,33,4281,1,1-Parcelamento em até 3 meses,4,4-Residência em instituições,23,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,moveis,3,500<=X<1000,3,1<=X<4,Solteiro,nao,proria,nenhum,qualificado
120,1,12,2366,3,3-Parcelamento de 7 a 12 meses,3,3-Residência com familiares,36,1,Nenhum,1,1,0,Não,Critico-outros creditos,veiculo novo,3,500<=X<1000,4,4<=X<7,Casado,nao,proria,nenhum,altamente qualificado/empresario
121,0,21,1835,3,3-Parcelamento de 7 a 12 meses,2,2-Residência temporária,25,2,Baixo (1-2 empréstimos),1,1,0,Não,existentes/pagos,reforma,2,<100,3,1<=X<4,Solteiro,nao,proria,nenhum,qualificado
122,1,24,3868,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,41,2,Baixo (1-2 empréstimos),1,1,0,Não,Critico-outros creditos,veiculo usado,2,<100,2,>=7,Solteiro,nao,alugada,nenhum,altamente qualificado/empresario
123,1,12,1768,3,3-Parcelamento de 7 a 12 meses,2,2-Residência temporária,24,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,2,<100,3,1<=X<4,Viuvo,nao,alugada,nenhum,nao qualificado
124,1,10,781,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,63,2,Baixo (1-2 empréstimos),1,1,0,Não,Critico-outros creditos,veiculo novo,2,<100,2,>=7,Viuvo,nao,de graca,nenhum,qualificado
125,0,18,1924,4,4-Parcelamento acima de 12 meses,3,3-Residência com familiares,27,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,1,Desconhecido,1,<1,Solteiro,nao,alugada,nenhum,qualificado
